AreaCode,ElementCode,ItemCode,Year,Value
45,5110,6655,2004,15
45,5110,6655,2005,15
45,5110,6655,2006,15
45,5110,6655,2007,15
45,5110,6655,2008,15
45,5110,6655,2009,15
45,5110,6655,2010,15
45,5110,6655,2011,15
45,5110,6655,2012,15
45,5110,6655,2013,15
45,5110,6655,2014,15
46,5110,6655,1990,10000
46,5110,6655,1991,10000
46,5110,6655,1992,10000
46,5110,6655,1993,10000
46,5110,6655,1994,10000
46,5110,6655,1995,10000
46,5110,6655,1996,10000
46,5110,6655,1997,10000
46,5110,6655,1998,10000
46,5110,6655,1999,10000
46,5110,6655,2000,10000
46,5110,6655,2001,10000
46,5110,6655,2002,10000
46,5110,6655,2003,10000
46,5110,6655,2004,10000
46,5110,6655,2005,10000
46,5110,6655,2006,10000
46,5110,6655,2007,10000
46,5110,6655,2008,10000
46,5110,6655,2009,10000
46,5110,6655,2010,10000
46,5110,6655,2011,10000
46,5110,6655,2012,10000
46,5110,6655,2013,10000
46,5110,6655,2014,10000
48,5110,6655,1990,1795
48,5110,6655,1991,1723
48,5110,6655,1992,1650
48,5110,6655,1993,1613
48,5110,6655,1994,1575
48,5110,6655,1995,1538
48,5110,6655,1996,1500
48,5110,6655,1997,1463
48,5110,6655,1998,1425
48,5110,6655,1999,1388
48,5110,6655,2000,1350
48,5110,6655,2001,1343
48,5110,6655,2002,1336
48,5110,6655,2003,1329
48,5110,6655,2004,1322
48,5110,6655,2005,1315
48,5110,6655,2006,1310
48,5110,6655,2007,1300
48,5110,6655,2008,1293
48,5110,6655,2009,1286
48,5110,6655,2010,1279
48,5110,6655,2011,1272
48,5110,6655,2012,1265
48,5110,6655,2013,1265
48,5110,6655,2014,1265
49,5110,6655,1990,2900
49,5110,6655,1991,2870
49,5110,6655,1992,2700
49,5110,6655,1993,2600
49,5110,6655,1994,2500
49,5110,6655,1995,2500
49,5110,6655,1996,2580
49,5110,6655,1997,2503
49,5110,6655,1998,2550
49,5110,6655,1999,2500
49,5110,6655,2000,2500
49,5110,6655,2001,2405
49,5110,6655,2002,2417
49,5110,6655,2003,2456
49,5110,6655,2004,2394
49,5110,6655,2005,2540
49,5110,6655,2006,2569
49,5110,6655,2007,2629
49,5110,6655,2008,2638.4
49,5110,6655,2009,2647.8
49,5110,6655,2010,2657.2
49,5110,6655,2011,2666.6
49,5110,6655,2012,2850.7
49,5110,6655,2013,2765.4
49,5110,6655,2014,2764.21
50,5110,6655,1990,4
50,5110,6655,1991,4
50,5110,6655,1992,4
50,5110,6655,1993,4
50,5110,6655,1994,2
50,5110,6655,1995,2
50,5110,6655,1996,1.2
50,5110,6655,1997,1.1
50,5110,6655,1998,1.1
50,5110,6655,1999,1.1
50,5110,6655,2000,1.1
50,5110,6655,2001,1
50,5110,6655,2002,1
