"Land Area","Ocean Area","Environment","Species","Scientific name","1990","S_1990","1991","S_1991","1992","S_1992","1993","S_1993","1994","S_1994","1995","S_1995","1996","S_1996","1997","S_1997","1998","S_1998","1999","S_1999","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Bonaire/S.Eustatius/Saba","Marine areas","Marine","Marine fishes","Marine fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0.7","F","0",".","0","-","0","-","0","-"
"Bosnia and Herzegovina","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","2280","","3905","","3480","","3817","","4008","","3953","F","4077","F","4010","F","4010","F","3024.4","","2819.3","","2382.5","","2936","","3172.2",""
"Bosnia and Herzegovina","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","2145","","2470","","2807","","3002","","3348","","3190","F","3205","F","3350","F","3350","F","1626.55","","670","","382","","241","","1104.4",""
"Bosnia and Herzegovina","Marine areas","Marine","Marine fishes","Marine fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","190","","190","","92","","191","","195","","215","F","220","F","190","F","190","F","269.55","","97","F","109","","180","","174",""
"Bosnia and Herzegovina","Marine areas","Marine","Molluscs","Molluscs","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","70","","70","","15","","60","","70","","84","F","87","F","70","F","70","F","49.7","","52","F","50","F","40","","0","."
"Botswana","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","120",""
"Brazil","Inland waters","Freshwater","Crustaceans","Crustaceans","600","F","550","","650","","700","F","700","F","341","","486","","446","","279","","227","","450","","450","","450","","450","","363","","370","","373","","230","","100","F","100","F","100","F","100","F","100","F","100","F","100","F","100","F"
"Brazil","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","0",".","600","","800","","800","F","800","F","762","","1085","","1160","","791","","1229","","1447","","1939","","2238","","2281","","2220","","2352","","2976","","2197","","3663","","4381","","5123","","1340","","1298","","957","","1704","","1590",""
"Brazil","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","18000","F","20000","F","26000","","26500","F","27000","F","39375","","67214","F","75367","","86916","","112094","","131508","","149697","","173231","","168908","","177518","","176397","","187187","","207613","","243508","","281227","","320161","","345789","","379650","","391536","","474272","","481651",""
"Brazil","Inland waters","Freshwater","Miscellaneous aquatic animals","Miscellaneous aquatic animals","60","F","90","F","120","F","140","F","165","F","304","","415","","522","","580","","593","","670","","635","","644","","626","","631","","630","","649","","603","","605","F","605","F","605","F","600","F","600","F","400","F","265","F","265","F"
